z,t,k,N1,N2,utl1,utl2
['01500'],3,100,10000,5000,2.4896538318446857,2.0
['01501'],3,100,10000,5000,2.3537095884515913,2.0
['01502'],3,100,10000,5000,2.371206537582482,2.0
['01503'],3,100,10000,5000,2.3103177800624577,2.0
['01504'],3,100,10000,5000,2.334151589468343,3.0
['01505'],3,100,10000,5000,2.289686597552082,2.0
['01510'],3,100,10000,5000,1.825496499945011,2.0
['01511'],3,100,10000,5000,1.3240375109599782,2.0
['01512'],3,100,10000,5000,1.3306031625776122,2.0
['01513'],3,100,10000,5000,1.229007093124969,2.0
['01514'],3,100,10000,5000,1.236544684452767,3.0
['01515'],3,100,10000,5000,1.242587152615703,2.0
['01520'],3,100,10000,5000,1.9208130653072946,2.0
['01521'],3,100,10000,5000,1.2926698039770683,2.0
['01522'],3,100,10000,5000,1.3354031273318878,2.0
['01523'],3,100,10000,5000,1.2090620864445765,2.0
['01524'],3,100,10000,5000,1.222615605994479,3.0
['01525'],3,100,10000,5000,1.2061434607459303,2.0
['01530'],3,100,10000,5000,1.6449973657044392,3.0
['01531'],3,100,10000,5000,1.1871130228243694,3.0
['01532'],3,100,10000,5000,1.1941133014569496,3.0
['01533'],3,100,10000,5000,1.1439525908198618,3.0
['01534'],3,100,10000,5000,1.1460762477909727,4.0
['01535'],3,100,10000,5000,1.1504409943287128,3.0
['01540'],3,100,10000,5000,1.6946611158504723,2.0
['01541'],3,100,10000,5000,1.1765096782805293,2.0
['01542'],3,100,10000,5000,1.1963703212361232,2.0
['01543'],3,100,10000,5000,1.1366008100575757,2.0
['01544'],3,100,10000,5000,1.1456571011828307,3.0
['01545'],3,100,10000,5000,1.1391116610357896,2.0
['01550'],3,100,10000,5000,1.6517332576462669,2.0
['01551'],3,100,10000,5000,1.2334139508582882,2.0
['01552'],3,100,10000,5000,1.2360326121794172,2.0
['01553'],3,100,10000,5000,1.1744882518069546,2.0
['01554'],3,100,10000,5000,1.1756878928481012,3.0
['01555'],3,100,10000,5000,1.1950853262824999,2.0
['02000'],3,100,10000,5000,13.80496517062675,1.0
['02001'],3,100,10000,5000,13.704602338193878,1.0
['02002'],3,100,10000,5000,13.525668822002734,1.0
['02003'],3,100,10000,5000,13.577526121474124,1.0
['02004'],3,100,10000,5000,13.554815434882372,2.0
['02005'],3,100,10000,5000,13.381168713798965,1.0
['02010'],3,100,10000,5000,12.728387533252517,1.0
['02011'],3,100,10000,5000,11.526624063502698,1.0
['02012'],3,100,10000,5000,11.709000471752269,1.0
['02013'],3,100,10000,5000,11.27292074547756,1.0
['02014'],3,100,10000,5000,11.29509479300074,2.0
['02015'],3,100,10000,5000,11.092614898916674,1.0
['02020'],3,100,10000,5000,13.031111054831198,1.0
['02021'],3,100,10000,5000,11.697018338800548,1.0
['02022'],3,100,10000,5000,11.78648308920863,1.0
['02023'],3,100,10000,5000,11.223661853338237,1.0
['02024'],3,100,10000,5000,11.473073580961833,2.0
['02025'],3,100,10000,5000,11.175272473372102,1.0
['02030'],3,100,10000,5000,12.318203602732956,2.0
['02031'],3,100,10000,5000,10.954891875126938,2.0
['02032'],3,100,10000,5000,11.14739793347941,2.0
['02033'],3,100,10000,5000,10.903600700222853,2.0
['02034'],3,100,10000,5000,10.693225528962083,3.0
['02035'],3,100,10000,5000,10.870521777759453,2.0
['02040'],3,100,10000,5000,12.614803132996187,1.0
['02041'],3,100,10000,5000,11.224877117835012,1.0
['02042'],3,100,10000,5000,11.373253331118992,1.0
['02043'],3,100,10000,5000,10.759804592056593,1.0
['02044'],3,100,10000,5000,11.004160778892903,2.0
['02045'],3,100,10000,5000,10.655111238304979,1.0
['02050'],3,100,10000,5000,12.071552188400258,1.0
['02051'],3,100,10000,5000,10.740525666317533,1.0
['02052'],3,100,10000,5000,10.965202463812078,1.0
['02053'],3,100,10000,5000,10.68468658791286,1.0
['02054'],3,100,10000,5000,10.609142586196285,2.0
['02055'],3,100,10000,5000,10.710387552436183,1.0
['02100'],3,100,10000,5000,3.47436069576309,1.0
['02101'],3,100,10000,5000,3.2016090114002838,1.0
['02102'],3,100,10000,5000,3.228161830451442,1.0
['02103'],3,100,10000,5000,3.1637198264476503,1.0
['02104'],3,100,10000,5000,3.198030659917447,2.0
['02105'],3,100,10000,5000,3.095578649623017,1.0
['02110'],3,100,10000,5000,2.484719369343804,1.0
['02111'],3,100,10000,5000,1.6982954531144347,1.0
['02112'],3,100,10000,5000,1.7364935364262197,1.0
['02113'],3,100,10000,5000,1.536802185123337,1.0
['02114'],3,100,10000,5000,1.5587406847870706,2.0
['02115'],3,100,10000,5000,1.5384058206514382,1.0
['02120'],3,100,10000,5000,2.6457779638340666,1.0
['02121'],3,100,10000,5000,1.7237185663701526,1.0
['02122'],3,100,10000,5000,1.8178475291678555,1.0
['02123'],3,100,10000,5000,1.5476872829249677,1.0
['02124'],3,100,10000,5000,1.5948879144390338,2.0
['02125'],3,100,10000,5000,1.5257599169037928,1.0
['02130'],3,100,10000,5000,2.2090809227556965,2.0
['02131'],3,100,10000,5000,1.4500740767988842,2.0
['02132'],3,100,10000,5000,1.4782990202627153,2.0
['02133'],3,100,10000,5000,1.3622972950928538,2.0
['02134'],3,100,10000,5000,1.370047772229551,3.0
['02135'],3,100,10000,5000,1.363572913961142,2.0
['02140'],3,100,10000,5000,2.342178799295747,1.0
['02141'],3,100,10000,5000,1.4809157300211526,1.0
['02142'],3,100,10000,5000,1.5294959676359892,1.0
['02143'],3,100,10000,5000,1.367435555114083,1.0
['02144'],3,100,10000,5000,1.3963534487259497,2.0
['02145'],3,100,10000,5000,1.359260394494778,1.0
['02150'],3,100,10000,5000,2.104793360965592,1.0
['02151'],3,100,10000,5000,1.4836733133780682,1.0
['02152'],3,100,10000,5000,1.5095124015533905,1.0
['02153'],3,100,10000,5000,1.3900546137962748,1.0
['02154'],3,100,10000,5000,1.388085751255174,2.0
['02155'],3,100,10000,5000,1.4113055698072077,1.0
