solver,time,attacker,|Q|,|X|,|T|,rho,k,EU,Lower,Upper
SA_D,900,dd,10,10,30,0.95,10000,-13.933234285589979,-27.26078429293063,-0.6056842782493295
SA_D,915,dd,10,10,30,0.95,10000,-13.913306899610724,-27.226367456070847,-0.6002463431506033
SA_D,930,dd,10,10,30,0.95,10000,-13.913306899610724,-27.226367456070847,-0.6002463431506033
SA_D,945,dd,10,10,30,0.95,10000,-13.913306899610724,-27.226367456070847,-0.6002463431506033
SA_D,960,dd,10,10,30,0.95,10000,-13.913306899610724,-27.226367456070847,-0.6002463431506033
SA_D,975,dd,10,10,30,0.95,10000,-13.913306899610724,-27.226367456070847,-0.6002463431506033
SA_D,990,dd,10,10,30,0.95,10000,-13.913306899610724,-27.226367456070847,-0.6002463431506033
SA_D,1005,dd,10,10,30,0.95,10000,-13.913306899610724,-27.226367456070847,-0.6002463431506033
SA_D,1020,dd,10,10,30,0.95,10000,-13.913306899610724,-27.226367456070847,-0.6002463431506033
SA_D,1035,dd,10,10,30,0.95,10000,-13.913306899610724,-27.226367456070847,-0.6002463431506033
SA_D,1050,dd,10,10,30,0.95,10000,-13.913306899610724,-27.226367456070847,-0.6002463431506033
SA_D,1065,dd,10,10,30,0.95,10000,-13.913306899610724,-27.226367456070847,-0.6002463431506033
SA_D,1080,dd,10,10,30,0.95,10000,-13.913306899610724,-27.226367456070847,-0.6002463431506033
